time,f0,frame,rms
9.024943225085735321e-03,2.912496643066406250e+02,1.990000000000000000e+02,3.374069929122924805e-04
9.070294909179210663e-03,2.912496643066406250e+02,2.000000000000000000e+02,4.064701497554779053e-04
9.115646593272686005e-03,2.912496643066406250e+02,2.010000000000000000e+02,4.230402410030364990e-04
9.160997346043586731e-03,2.912496643066406250e+02,2.020000000000000000e+02,3.176294267177581787e-04
9.206349030137062073e-03,2.912496643066406250e+02,2.030000000000000000e+02,7.051602005958557129e-05
9.251700714230537415e-03,2.912496643066406250e+02,2.040000000000000000e+02,7.823109626770019531e-08
9.297052398324012756e-03,2.912496643066406250e+02,2.050000000000000000e+02,5.659461021423339844e-05
9.342404082417488098e-03,2.912496643066406250e+02,2.060000000000000000e+02,1.412332057952880859e-04
9.387754835188388824e-03,2.912496643066406250e+02,2.070000000000000000e+02,3.744661808013916016e-05
9.433106519281864166e-03,2.912496643066406250e+02,2.080000000000000000e+02,1.055747270584106445e-05
9.478458203375339508e-03,2.912496643066406250e+02,2.090000000000000000e+02,6.326287984848022461e-05
9.523809887468814850e-03,2.912496643066406250e+02,2.100000000000000000e+02,2.060085535049438477e-05
9.569160640239715576e-03,2.912496643066406250e+02,2.110000000000000000e+02,6.048008799552917480e-05
9.614512324333190918e-03,2.912496643066406250e+02,2.120000000000000000e+02,2.318993210792541504e-04
9.659864008426666260e-03,2.912496643066406250e+02,2.130000000000000000e+02,3.906190395355224609e-04
9.705215692520141602e-03,2.912496643066406250e+02,2.140000000000000000e+02,3.059729933738708496e-04
9.750566445291042328e-03,2.912496643066406250e+02,2.150000000000000000e+02,2.446696162223815918e-04
9.795918129384517670e-03,2.912496643066406250e+02,2.160000000000000000e+02,3.571249544620513916e-04
9.841269813477993011e-03,2.912496643066406250e+02,2.170000000000000000e+02,3.452375531196594238e-04
9.886621497571468353e-03,2.912496643066406250e+02,2.180000000000000000e+02,4.958845674991607666e-04
9.931973181664943695e-03,2.912496643066406250e+02,2.190000000000000000e+02,5.366615951061248779e-04
9.977323934435844421e-03,2.912496643066406250e+02,2.200000000000000000e+02,6.209127604961395264e-04
1.002267561852931976e-02,2.912496643066406250e+02,2.210000000000000000e+02,7.825903594493865967e-04
1.006802730262279510e-02,2.912496643066406250e+02,2.220000000000000000e+02,7.803849875926971436e-04
1.011337898671627045e-02,2.912496643066406250e+02,2.230000000000000000e+02,7.632821798324584961e-04
1.015872973948717117e-02,2.912496643066406250e+02,2.240000000000000000e+02,6.811171770095825195e-04
1.020408142358064651e-02,2.912496643066406250e+02,2.250000000000000000e+02,4.662275314331054688e-04
1.024943310767412186e-02,2.912496643066406250e+02,2.260000000000000000e+02,3.178119659423828125e-04
